lead_id,entry_date,month,month_num,source,industry,final_stage,days_in_funnel,close_date,mrr,cac,is_won,is_lost
42,2025-01-08,January,1,Email Campaign,Finance,Closed Lost,5,,0,173.25,0,1
43,2025-01-08,January,1,Email Campaign,Agency,Closed Lost,24,,0,155.07,0,1
44,2025-01-09,January,1,Referral,Agency,Closed Lost,3,,0,100.71,0,1
45,2025-01-09,January,1,Email Campaign,Agency,Closed Lost,4,,0,185.35,0,1
46,2025-01-09,January,1,Organic Search,Healthcare,Closed Lost,16,,0,197.52,0,1
47,2025-01-09,January,1,Organic Search,SaaS,Closed Lost,6,,0,207.12,0,1
48,2025-01-09,January,1,Referral,Agency,Closed Lost,10,,0,104.51,0,1
49,2025-01-09,January,1,Paid Search,Agency,Closed Lost,7,,0,363.42,0,1
50,2025-01-10,January,1,Paid Search,Finance,Closed Won,32,2025-02-11,1557.86,354.11,1,0
51,2025-01-10,January,1,Paid Search,E-commerce,Closed Lost,13,,0,351.62,0,1
52,2025-01-10,January,1,Organic Search,Finance,Closed Lost,5,,0,218.97,0,1
53,2025-01-10,January,1,Paid Search,Healthcare,Closed Lost,9,,0,324.3,0,1
54,2025-01-10,January,1,Paid Search,E-commerce,Closed Won,49,2025-02-28,1113.23,321.38,1,0
55,2025-01-11,January,1,Paid Search,SaaS,Closed Lost,32,,0,328.78,0,1
56,2025-01-11,January,1,Email Campaign,Agency,Closed Lost,8,,0,158.02,0,1
57,2025-01-11,January,1,Organic Search,Healthcare,Closed Lost,4,,0,190.21,0,1
58,2025-01-11,January,1,Organic Search,SaaS,Closed Lost,4,,0,203.74,0,1
59,2025-01-11,January,1,Paid Search,SaaS,Closed Lost,27,,0,363.68,0,1
60,2025-01-11,January,1,Social Media,Agency,Closed Lost,13,,0,300.09,0,1
61,2025-01-12,January,1,Paid Search,Healthcare,Closed Lost,7,,0,337.17,0,1
62,2025-01-12,January,1,Paid Search,E-commerce,Closed Lost,5,,0,319.71,0,1
63,2025-01-12,January,1,Organic Search,E-commerce,Closed Lost,16,,0,218.5,0,1
64,2025-01-12,January,1,Email Campaign,Finance,Closed Lost,50,,0,188.35,0,1
65,2025-01-12,January,1,Social Media,Healthcare,Closed Lost,8,,0,296.1,0,1
66,2025-01-13,January,1,Paid Search,Finance,Closed Lost,3,,0,357.67,0,1
67,2025-01-13,January,1,Organic Search,SaaS,Closed Lost,7,,0,196.67,0,1
68,2025-01-13,January,1,Organic Search,SaaS,Closed Lost,9,,0,214.21,0,1
69,2025-01-13,January,1,Social Media,Agency,Closed Won,38,2025-02-20,1340.07,344.88,1,0
70,2025-01-13,January,1,Email Campaign,E-commerce,Closed Won,36,2025-02-18,1108.35,161.86,1,0
71,2025-01-13,January,1,Email Campaign,SaaS,Closed Won,33,2025-02-15,1212.44,187.91,1,0
72,2025-01-13,January,1,Paid Search,Agency,Closed Lost,20,,0,311.59,0,1
73,2025-01-14,January,1,Email Campaign,Healthcare,Closed Lost,22,,0,159.73,0,1
74,2025-01-14,January,1,Email Campaign,Agency,Closed Lost,3,,0,183.39,0,1
75,2025-01-14,January,1,Email Campaign,Healthcare,Closed Lost,26,,0,183.72,0,1
76,2025-01-14,January,1,Email Campaign,SaaS,Closed Lost,6,,0,171.78,0,1
77,2025-01-15,January,1,Email Campaign,Agency,Closed Lost,16,,0,163.62,0,1
78,2025-01-15,January,1,Organic Search,E-commerce,Closed Lost,35,,0,213.21,0,1
79,2025-01-15,January,1,Organic Search,Finance,Closed Lost,7,,0,210.08,0,1
80,2025-01-15,January,1,Email Campaign,Healthcare,Closed Lost,31,,0,176.32,0,1
81,2025-01-15,January,1,Paid Search,SaaS,Closed Lost,10,,0,319.59,0,1
82,2025-01-15,January,1,Organic Search,Healthcare,Closed Lost,7,,0,207.76,0,1
83,2025-01-15,January,1,Social Media,Finance,Closed Lost,4,,0,346.18,0,1
84,2025-01-15,January,1,Email Campaign,Healthcare,Closed Lost,9,,0,164.91,0,1
85,2025-01-16,January,1,Organic Search,Agency,Closed Lost,10,,0,219.13,0,1
86,2025-01-16,January,1,Referral,Healthcare,Closed Lost,6,,0,95.47,0,1
87,2025-01-16,January,1,Organic Search,Healthcare,Closed Lost,7,,0,217.49,0,1
88,2025-01-16,January,1,Paid Search,Agency,Closed Lost,7,,0,361.01,0,1
89,2025-01-16,January,1,Social Media,Healthcare,Closed Lost,10,,0,308.42,0,1
90,2025-01-16,January,1,Paid Search,SaaS,Closed Lost,10,,0,328.75,0,1
91,2025-01-17,January,1,Referral,E-commerce,Closed Lost,26,,0,113.53,0,1
92,2025-01-17,January,1,Paid Search,SaaS,Closed Lost,7,,0,318.55,0,1
93,2025-01-17,January,1,Organic Search,Finance,Closed Lost,35,,0,181.41,0,1
94,2025-01-17,January,1,Organic Search,SaaS,Closed Lost,7,,0,204.81,0,1
95,2025-01-17,January,1,Paid Search,Healthcare,Closed Lost,9,,0,335.82,0,1
96,2025-01-18,January,1,Paid Search,E-commerce,Closed Lost,9,,0,360.84,0,1
97,2025-01-18,January,1,Referral,Agency,Closed Lost,4,,0,94.94,0,1
98,2025-01-18,January,1,Referral,Finance,Closed Lost,5,,0,107.36,0,1
99,2025-01-18,January,1,Social Media,Finance,Closed Won,36,2025-02-23,1440.78,298.62,1,0
100,2025-01-19,January,1,Organic Search,Healthcare,Closed Lost,4,,0,187.78,0,1
101,2025-01-19,January,1,Referral,Agency,Closed Lost,20,,0,102.83,0,1
102,2025-01-19,January,1,Email Campaign,Healthcare,Closed Won,37,2025-02-25,1198.4,155.63,1,0
103,2025-01-20,January,1,Referral,Finance,Closed Lost,6,,0,101.78,0,1
104,2025-01-20,January,1,Social Media,SaaS,Closed Lost,8,,0,291.52,0,1
105,2025-01-20,January,1,Email Campaign,Agency,Closed Lost,6,,0,158.13,0,1
106,2025-01-20,January,1,Paid Search,Finance,Closed Lost,39,,0,366.45,0,1
107,2025-01-20,January,1,Paid Search,SaaS,Closed Lost,10,,0,366.47,0,1
108,2025-01-20,January,1,Referral,SaaS,Closed Lost,18,,0,110.25,0,1
109,2025-01-21,January,1,Organic Search,Finance,Closed Won,40,2025-03-02,1688.16,204.47,1,0
110,2025-01-21,January,1,Email Campaign,Finance,Closed Lost,4,,0,158.36,0,1
111,2025-01-21,January,1,Social Media,Agency,Closed Lost,6,,0,308.04,0,1
112,2025-01-21,January,1,Paid Search,Agency,Closed Lost,16,,0,365.84,0,1
113,2025-01-21,January,1,Paid Search,Finance,Closed Lost,6,,0,303.54,0,1
114,2025-01-21,January,1,Referral,E-commerce,Closed Lost,29,,0,99.28,0,1
115,2025-01-22,January,1,Referral,E-commerce,Closed Lost,14,,0,101.47,0,1
116,2025-01-22,January,1,Referral,Healthcare,Closed Lost,20,,0,95.32,0,1
117,2025-01-22,January,1,Referral,Healthcare,Closed Won,49,2025-03-12,1314.33,97.82,1,0
118,2025-01-22,January,1,Paid Search,Finance,Closed Lost,3,,0,365.16,0,1
119,2025-01-22,January,1,Paid Search,Finance,Closed Lost,10,,0,329.41,0,1
120,2025-01-22,January,1,Organic Search,Healthcare,Closed Lost,14,,0,216.64,0,1
121,2025-01-23,January,1,Email Campaign,Finance,Closed Lost,19,,0,170.17,0,1
122,2025-01-23,January,1,Organic Search,SaaS,Closed Lost,29,,0,187.76,0,1
123,2025-01-23,January,1,Social Media,E-commerce,Closed Lost,9,,0,289.11,0,1
124,2025-01-23,January,1,Referral,Healthcare,Closed Lost,34,,0,94.54,0,1
125,2025-01-23,January,1,Referral,Healthcare,Closed Lost,9,,0,94.76,0,1
126,2025-01-24,January,1,Organic Search,Finance,Closed Lost,21,,0,193.96,0,1
127,2025-01-24,January,1,Social Media,Agency,Closed Lost,17,,0,283.82,0,1
128,2025-01-24,January,1,Email Campaign,SaaS,Closed Lost,31,,0,182.13,0,1
129,2025-01-24,January,1,Referral,Finance,Closed Lost,38,,0,97.07,0,1
130,2025-01-24,January,1,Paid Search,E-commerce,Closed Lost,10,,0,325.83,0,1
131,2025-01-24,January,1,Email Campaign,SaaS,Closed Lost,9,,0,180.86,0,1
132,2025-01-25,January,1,Organic Search,Finance,Closed Lost,8,,0,185.9,0,1
133,2025-01-25,January,1,Referral,SaaS,Closed Lost,7,,0,106.95,0,1
134,2025-01-25,January,1,Paid Search,SaaS,Closed Lost,10,,0,313.18,0,1
135,2025-01-25,January,1,Paid Search,Finance,Closed Lost,6,,0,351.7,0,1
136,2025-01-25,January,1,Organic Search,E-commerce,Closed Won,34,2025-02-28,992.26,214.75,1,0
137,2025-01-25,January,1,Email Campaign,Healthcare,Closed Lost,33,,0,177.43,0,1
138,2025-01-26,January,1,Organic Search,SaaS,Closed Lost,16,,0,181.1,0,1
139,2025-01-26,January,1,Social Media,Healthcare,Closed Lost,20,,0,295.82,0,1
140,2025-01-26,January,1,Organic Search,E-commerce,Closed Lost,5,,0,197.4,0,1
141,2025-01-26,January,1,Social Media,SaaS,Closed Won,34,2025-03-01,1193.23,329.73,1,0
142,2025-01-26,January,1,Paid Search,SaaS,Closed Lost,9,,0,347.04,0,1
143,2025-01-26,January,1,Paid Search,Agency,Closed Won,37,2025-03-04,1234.93,311.93,1,0
144,2025-01-27,January,1,Referral,E-commerce,Closed Lost,7,,0,107.85,0,1
145,2025-01-27,January,1,Referral,SaaS,Closed Lost,32,,0,101.5,0,1
146,2025-01-27,January,1,Paid Search,Finance,Closed Lost,6,,0,364.71,0,1
147,2025-01-28,January,1,Referral,Healthcare,Closed Lost,4,,0,102.39,0,1
148,2025-01-28,January,1,Social Media,Finance,Closed Lost,5,,0,284.52,0,1
149,2025-01-28,January,1,Email Campaign,Healthcare,Closed Lost,9,,0,158.0,0,1
150,2025-01-28,January,1,Email Campaign,E-commerce,Closed Lost,5,,0,159.96,0,1
151,2025-01-28,January,1,Social Media,Healthcare,Closed Lost,4,,0,290.44,0,1
152,2025-01-29,January,1,Paid Search,E-commerce,Closed Lost,15,,0,322.66,0,1
153,2025-01-29,January,1,Email Campaign,Finance,Closed Lost,13,,0,176.32,0,1
154,2025-01-29,January,1,Email Campaign,Healthcare,Closed Lost,5,,0,174.41,0,1
155,2025-01-30,January,1,Organic Search,Finance,Closed Lost,5,,0,194.79,0,1
156,2025-01-30,January,1,Organic Search,Healthcare,Closed Lost,36,,0,181.01,0,1
157,2025-01-30,January,1,Social Media,SaaS,Closed Lost,25,,0,332.62,0,1
158,2025-01-30,January,1,Referral,E-commerce,Closed Lost,9,,0,102.03,0,1
159,2025-01-30,January,1,Social Media,Finance,Closed Lost,5,,0,285.06,0,1
160,2025-01-30,January,1,Email Campaign,Finance,Closed Lost,10,,0,181.23,0,1
161,2025-01-31,January,1,Paid Search,Finance,Closed Lost,4,,0,310.19,0,1
162,2025-01-31,January,1,Referral,E-commerce,Closed Lost,25,,0,94.76,0,1
163,2025-01-31,January,1,Paid Search,SaaS,Closed Lost,8,,0,353.69,0,1
164,2025-01-31,January,1,Email Campaign,SaaS,Closed Lost,16,,0,155.83,0,1
165,2025-01-31,January,1,Organic Search,Agency,Closed Lost,4,,0,187.21,0,1
166,2025-01-31,January,1,Referral,E-commerce,Closed Lost,5,,0,108.23,0,1
167,2025-02-01,February,2,Paid Search,SaaS,Closed Lost,7,,0,312.22,0,1
168,2025-02-01,February,2,Email Campaign,E-commerce,Closed Lost,10,,0,159.88,0,1
169,2025-02-01,February,2,Email Campaign,Finance,Closed Lost,15,,0,165.92,0,1
170,2025-02-01,February,2,Organic Search,Healthcare,Closed Lost,14,,0,206.6,0,1
171,2025-02-02,February,2,Social Media,SaaS,Closed Lost,3,,0,323.68,0,1
172,2025-02-02,February,2,Social Media,Finance,Closed Lost,4,,0,299.47,0,1
173,2025-02-02,February,2,Email Campaign,Finance,Closed Lost,8,,0,164.05,0,1
174,2025-02-02,February,2,Social Media,Agency,Closed Lost,20,,0,298.08,0,1
175,2025-02-02,February,2,Email Campaign,SaaS,Closed Lost,42,,0,165.7,0,1
176,2025-02-02,February,2,Organic Search,SaaS,Closed Lost,18,,0,196.15,0,1
177,2025-02-03,February,2,Social Media,SaaS,Closed Lost,11,,0,284.99,0,1
178,2025-02-03,February,2,Organic Search,Agency,Closed Lost,17,,0,188.43,0,1
179,2025-02-03,February,2,Email Campaign,E-commerce,Closed Lost,6,,0,167.55,0,1
180,2025-02-03,February,2,Referral,Healthcare,Closed Lost,18,,0,95.91,0,1
181,2025-02-03,February,2,Paid Search,E-commerce,Closed Lost,7,,0,366.39,0,1
182,2025-02-04,February,2,Social Media,Agency,Closed Lost,10,,0,321.51,0,1
183,2025-02-04,February,2,Email Campaign,Finance,Closed Won,30,2025-03-06,1665.61,158.55,1,0
184,2025-02-04,February,2,Email Campaign,Agency,Closed Lost,6,,0,159.84,0,1
185,2025-02-04,February,2,Paid Search,Agency,Closed Lost,9,,0,356.09,0,1
186,2025-02-04,February,2,Paid Search,Agency,Closed Lost,19,,0,349.52,0,1
187,2025-02-04,February,2,Organic Search,Finance,Closed Lost,10,,0,182.7,0,1
188,2025-02-04,February,2,Referral,Healthcare,Closed Lost,40,,0,108.76,0,1
189,2025-02-04,February,2,Social Media,Agency,Closed Lost,7,,0,302.21,0,1
190,2025-02-05,February,2,Paid Search,SaaS,Closed Lost,3,,0,312.95,0,1
191,2025-02-05,February,2,Paid Search,Healthcare,Closed Lost,8,,0,314.44,0,1
192,2025-02-05,February,2,Referral,E-commerce,Closed Lost,9,,0,112.85,0,1
193,2025-02-05,February,2,Email Campaign,Finance,Closed Lost,3,,0,184.46,0,1
194,2025-02-05,February,2,Referral,Healthcare,Closed Lost,7,,0,110.38,0,1
195,2025-02-05,February,2,Referral,Agency,Closed Lost,5,,0,96.93,0,1
196,2025-02-05,February,2,Organic Search,SaaS,Closed Lost,19,,0,181.15,0,1
197,2025-02-06,February,2,Organic Search,SaaS,Closed Lost,29,,0,214.58,0,1
198,2025-02-06,February,2,Referral,SaaS,Closed Lost,32,,0,110.86,0,1
199,2025-02-06,February,2,Organic Search,E-commerce,Closed Lost,5,,0,183.39,0,1
200,2025-02-06,February,2,Paid Search,E-commerce,Closed Won,40,2025-03-18,1243.76,353.13,1,0
201,2025-02-06,February,2,Email Campaign,Agency,Closed Lost,7,,0,176.23,0,1
202,2025-02-07,February,2,Organic Search,Finance,Closed Lost,25,,0,202.4,0,1
203,2025-02-07,February,2,Social Media,Healthcare,Closed Lost,6,,0,301.75,0,1
204,2025-02-07,February,2,Organic Search,SaaS,Closed Lost,27,,0,193.33,0,1
205,2025-02-07,February,2,Email Campaign,E-commerce,Closed Lost,5,,0,164.71,0,1
206,2025-02-08,February,2,Referral,Healthcare,Closed Lost,34,,0,100.73,0,1
207,2025-02-08,February,2,Organic Search,Finance,Closed Lost,4,,0,196.32,0,1
208,2025-02-08,February,2,Organic Search,E-commerce,Closed Lost,41,,0,217.14,0,1
209,2025-02-08,February,2,Paid Search,Agency,Closed Lost,3,,0,324.93,0,1
210,2025-02-08,February,2,Social Media,Agency,Closed Lost,20,,0,294.27,0,1
211,2025-02-08,February,2,Referral,E-commerce,Closed Lost,5,,0,100.88,0,1
212,2025-02-09,February,2,Paid Search,Agency,Closed Lost,21,,0,311.94,0,1
213,2025-02-09,February,2,Paid Search,Healthcare,Closed Lost,8,,0,312.36,0,1
214,2025-02-09,February,2,Social Media,Healthcare,Closed Won,39,2025-03-20,1432.42,329.8,1,0
215,2025-02-09,February,2,Referral,E-commerce,Closed Won,33,2025-03-14,1171.7,104.36,1,0
216,2025-02-09,February,2,Social Media,Finance,Closed Lost,18,,0,283.93,0,1
217,2025-02-09,February,2,Paid Search,Finance,Closed Lost,9,,0,358.27,0,1
218,2025-02-09,February,2,Email Campaign,Healthcare,Closed Lost,4,,0,170.57,0,1
219,2025-02-09,February,2,Social Media,E-commerce,Closed Lost,4,,0,339.97,0,1
220,2025-02-10,February,2,Paid Search,E-commerce,Closed Lost,10,,0,332.08,0,1
221,2025-02-10,February,2,Email Campaign,Finance,Closed Lost,5,,0,185.74,0,1
222,2025-02-10,February,2,Social Media,SaaS,Closed Lost,16,,0,285.99,0,1
223,2025-02-10,February,2,Email Campaign,Healthcare,Closed Lost,12,,0,184.11,0,1
224,2025-02-10,February,2,Referral,Agency,Closed Lost,25,,0,110.45,0,1
225,2025-02-10,February,2,Social Media,Agency,Closed Lost,46,,0,329.53,0,1
226,2025-02-11,February,2,Email Campaign,E-commerce,Closed Lost,7,,0,164.38,0,1
227,2025-02-11,February,2,Referral,SaaS,Closed Lost,24,,0,108.48,0,1
228,2025-02-11,February,2,Social Media,Agency,Closed Lost,32,,0,344.81,0,1
229,2025-02-11,February,2,Referral,Finance,Closed Lost,11,,0,110.81,0,1
230,2025-02-11,February,2,Paid Search,Finance,Closed Lost,6,,0,356.17,0,1
231,2025-02-11,February,2,Paid Search,E-commerce,Closed Lost,9,,0,332.95,0,1
232,2025-02-11,February,2,Social Media,Agency,Closed Lost,10,,0,305.94,0,1
233,2025-02-12,February,2,Referral,E-commerce,Closed Lost,5,,0,103.96,0,1
234,2025-02-12,February,2,Social Media,E-commerce,Closed Won,46,2025-03-30,992.07,302.69,1,0
235,2025-02-12,February,2,Referral,SaaS,Closed Lost,15,,0,104.99,0,1
236,2025-02-12,February,2,Social Media,Agency,Closed Lost,20,,0,321.91,0,1
237,2025-02-12,February,2,Email Campaign,Healthcare,Closed Lost,5,,0,181.67,0,1
238,2025-02-12,February,2,Social Media,Healthcare,Closed Lost,16,,0,321.99,0,1
239,2025-02-13,February,2,Email Campaign,SaaS,Closed Lost,7,,0,161.73,0,1
240,2025-02-13,February,2,Paid Search,Agency,Closed Lost,16,,0,338.78,0,1
241,2025-02-13,February,2,Social Media,Finance,Closed Lost,44,,0,299.12,0,1
242,2025-02-13,February,2,Paid Search,Agency,Closed Lost,3,,0,312.32,0,1
243,2025-02-13,February,2,Social Media,Finance,Closed Lost,10,,0,325.51,0,1
244,2025-02-14,February,2,Referral,SaaS,Closed Lost,13,,0,94.34,0,1
245,2025-02-14,February,2,Organic Search,E-commerce,Closed Lost,4,,0,199.85,0,1
246,2025-02-14,February,2,Referral,Healthcare,Closed Lost,19,,0,95.88,0,1
247,2025-02-14,February,2,Social Media,E-commerce,Closed Lost,6,,0,301.49,0,1
248,2025-02-14,February,2,Social Media,Finance,Closed Lost,12,,0,305.97,0,1
249,2025-02-14,February,2,Referral,Finance,Closed Lost,17,,0,114.26,0,1
250,2025-02-15,February,2,Referral,SaaS,Closed Lost,15,,0,106.15,0,1
251,2025-02-15,February,2,Organic Search,SaaS,Closed Lost,14,,0,195.38,0,1
252,2025-02-15,February,2,Organic Search,SaaS,Closed Lost,25,,0,181.89,0,1
253,2025-02-15,February,2,Email Campaign,Agency,Closed Lost,5,,0,176.52,0,1
254,2025-02-16,February,2,Organic Search,Healthcare,Closed Lost,17,,0,183.53,0,1
255,2025-02-16,February,2,Paid Search,SaaS,Closed Lost,4,,0,362.84,0,1
256,2025-02-16,February,2,Organic Search,E-commerce,Closed Lost,5,,0,210.86,0,1
257,2025-02-16,February,2,Email Campaign,E-commerce,Closed Lost,5,,0,169.46,0,1
258,2025-02-16,February,2,Social Media,SaaS,Closed Lost,3,,0,314.95,0,1
259,2025-02-17,February,2,Email Campaign,SaaS,Closed Lost,9,,0,174.75,0,1
260,2025-02-17,February,2,Referral,Finance,Closed Lost,24,,0,114.38,0,1
261,2025-02-17,February,2,Referral,Finance,Closed Lost,4,,0,107.36,0,1
262,2025-02-17,February,2,Paid Search,Healthcare,Closed Lost,9,,0,301.9,0,1
263,2025-02-18,February,2,Organic Search,Healthcare,Closed Lost,5,,0,198.33,0,1
264,2025-02-18,February,2,Social Media,Agency,Closed Lost,15,,0,332.36,0,1
265,2025-02-18,February,2,Paid Search,SaaS,Closed Lost,26,,0,349.64,0,1
266,2025-02-18,February,2,Organic Search,SaaS,Closed Lost,22,,0,217.69,0,1
267,2025-02-18,February,2,Referral,Agency,Closed Lost,20,,0,103.72,0,1
268,2025-02-19,February,2,Paid Search,Healthcare,Closed Lost,4,,0,325.92,0,1
269,2025-02-19,February,2,Paid Search,Finance,Closed Lost,10,,0,364.9,0,1
270,2025-02-19,February,2,Email Campaign,E-commerce,Closed Lost,18,,0,179.15,0,1
271,2025-02-19,February,2,Email Campaign,E-commerce,Closed Lost,3,,0,183.56,0,1
272,2025-02-19,February,2,Email Campaign,E-commerce,Closed Lost,6,,0,167.91,0,1
273,2025-02-20,February,2,Paid Search,Finance,Closed Lost,33,,0,320.91,0,1
274,2025-02-20,February,2,Paid Search,Agency,Closed Lost,38,,0,354.37,0,1
275,2025-02-20,February,2,Paid Search,E-commerce,Closed Lost,9,,0,332.76,0,1
276,2025-02-20,February,2,Paid Search,E-commerce,Closed Lost,3,,0,354.63,0,1
277,2025-02-20,February,2,Referral,Agency,Closed Lost,16,,0,102.22,0,1
278,2025-02-21,February,2,Email Campaign,E-commerce,Closed Lost,8,,0,171.35,0,1
279,2025-02-21,February,2,Email Campaign,Healthcare,Closed Won,44,2025-04-06,1456.92,163.42,1,0
280,2025-02-21,February,2,Referral,E-commerce,Closed Lost,8,,0,107.12,0,1
281,2025-02-21,February,2,Organic Search,Healthcare,Closed Lost,24,,0,180.83,0,1
282,2025-02-22,February,2,Referral,Agency,Closed Lost,7,,0,113.23,0,1
283,2025-02-22,February,2,Social Media,Finance,Closed Lost,24,,0,344.3,0,1
284,2025-02-22,February,2,Social Media,SaaS,Closed Won,37,2025-03-31,1379.63,336.87,1,0
285,2025-02-22,February,2,Organic Search,Agency,Closed Lost,4,,0,207.66,0,1
286,2025-02-22,February,2,Organic Search,E-commerce,Closed Lost,21,,0,199.69,0,1
287,2025-02-22,February,2,Paid Search,Finance,Closed Lost,8,,0,366.3,0,1
288,2025-02-22,February,2,Paid Search,Healthcare,Closed Lost,12,,0,362.08,0,1
289,2025-02-22,February,2,Organic Search,SaaS,Closed Lost,33,,0,203.01,0,1
290,2025-02-22,February,2,Referral,SaaS,Closed Lost,8,,0,99.28,0,1
291,2025-02-23,February,2,Organic Search,E-commerce,Closed Lost,5,,0,197.09,0,1
292,2025-02-23,February,2,Paid Search,SaaS,Closed Lost,6,,0,355.11,0,1
293,2025-02-23,February,2,Paid Search,Healthcare,Closed Lost,15,,0,353.74,0,1
294,2025-02-23,February,2,Organic Search,Finance,Closed Lost,4,,0,197.53,0,1
295,2025-02-23,February,2,Social Media,E-commerce,Closed Lost,10,,0,290.87,0,1
296,2025-02-24,February,2,Organic Search,Healthcare,Closed Lost,5,,0,197.0,0,1
297,2025-02-24,February,2,Paid Search,E-commerce,Closed Lost,6,,0,312.01,0,1
298,2025-02-24,February,2,Social Media,Agency,Closed Lost,8,,0,334.26,0,1
299,2025-02-24,February,2,Social Media,Finance,Closed Lost,16,,0,293.25,0,1
300,2025-02-24,February,2,Email Campaign,SaaS,Closed Lost,6,,0,174.22,0,1
301,2025-02-25,February,2,Social Media,SaaS,Closed Lost,17,,0,346.04,0,1
302,2025-02-25,February,2,Paid Search,Healthcare,Closed Lost,39,,0,367.16,0,1
303,2025-02-25,February,2,Organic Search,Finance,Closed Lost,8,,0,199.86,0,1
304,2025-02-25,February,2,Referral,SaaS,Closed Lost,7,,0,97.79,0,1
305,2025-02-25,February,2,Referral,SaaS,Closed Lost,6,,0,99.69,0,1
306,2025-02-25,February,2,Paid Search,Healthcare,Closed Lost,6,,0,349.27,0,1
307,2025-02-25,February,2,Paid Search,Agency,Closed Lost,16,,0,352.6,0,1
308,2025-02-26,February,2,Paid Search,Agency,Closed Lost,47,,0,355.9,0,1
309,2025-02-26,February,2,Social Media,E-commerce,Closed Lost,10,,0,289.28,0,1
310,2025-02-26,February,2,Referral,Finance,Closed Lost,33,,0,94.68,0,1
311,2025-02-26,February,2,Social Media,Agency,Closed Lost,3,,0,306.03,0,1
312,2025-02-26,February,2,Referral,Agency,Closed Lost,18,,0,110.17,0,1
313,2025-02-26,February,2,Referral,Agency,Closed Lost,3,,0,100.0,0,1
314,2025-02-27,February,2,Organic Search,Finance,Closed Lost,3,,0,200.65,0,1
